Year, Month, Day, Latitude, Longitude, Rust Severity:WheatLeafRust, Rust Incidence:WheatLeafRust, Binary disease presence  
2007,2,5,7.0518,39.131,0,0,0
2007,2,5,7.0885,39.187,0,0,0
2007,2,5,8.0162,39.152,0,0,0
2007,2,7,7.3388,39.692,0,0,0
2007,2,7,8.0101,39.082,0,0,0
2007,2,7,8.026,39.046,0,0,0
2007,2,26,7.3933,39.27,0,0,0
2007,2,26,7.4093,39.333,0,0,0
2007,2,26,8.0205,39.157,0,0,0
2007,10,4,8.3781,39.331,0,0,0
2007,10,4,8.4087,39.325,0,0,0
2007,10,8,7.1286,39.26,0,0,0
2007,10,8,7.1357,39.336,0,0,0
2007,10,8,7.1387,39.272,0,0,0
2007,10,8,7.1455,39.285,0,0,0
2007,10,8,7.1473,39.268,0,0,0
2007,10,8,7.1639,39.327,0,0,0
2007,10,8,7.168,39.287,0,0,0
2007,10,8,7.1867,39.33,0,0,0
2007,10,8,7.1925,39.32,0,0,0
2007,10,13,7.198,38.62,2,2,1
2007,10,16,8.4736,39.188,1,3,1
2007,10,16,8.4774,39.157,1,1,1
2007,10,17,8.0382,39.025,0,0,0
2007,10,17,8.3733,38.512,1,3,1
2007,10,17,8.417,38.537,1,3,1
2007,10,17,8.4533,38.568,3,3,1
2007,10,18,7.3956,39.283,0,0,0
2007,10,18,7.542,39.256,0,0,0
2007,10,18,7.6233,39.224,0,0,0
2007,10,18,7.6233,39.224,1,3,1
2007,10,18,7.7065,39.168,0,0,0
2007,10,18,7.7065,39.168,1,1,1
2007,10,18,7.7385,39.233,1,1,1
2007,10,18,7.7466,39.036,0,0,0
2007,10,19,7.1323,39.259,0,0,0
2007,10,19,7.1413,39.254,0,0,0
2007,10,19,7.1438,39.241,0,0,0
2007,10,19,7.1731,39.335,0,0,0
2007,10,19,7.182,39.333,0,0,0
2007,10,20,7.0041,39.081,0,0,0
2007,10,20,7.0243,38.893,0,0,0
2007,10,20,7.1189,39.199,0,0,0
2007,10,20,8.1394,38.525,3,3,1
2007,10,20,8.2045,38.586,1,3,1
2007,10,20,8.4357,39.002,2,3,1
