CountryID,Year,Month,Day,Latitude,Longitude,Altitude,Area,HostCultivar,GrowthStage,StemRustSeverity,StemRustIncidence,Binary disease presence
ET,2007,2,5,7.0518,39.1313,2408,1,HAR 1685,5,1,1,1
ET,2007,2,5,7.0885,39.1870,2388,-9.999900e+02,HAR 1685,5,1,1,1
ET,2007,2,5,8.0162,39.1519,2777,2,HAR 1685,5,1,2,1
ET,2007,2,7,7.3388,39.6922,1791,-9.999900e+02,Kubsa,6,1,2,1
ET,2007,2,7,8.0260,39.0463,1718,-9.999900e+02,Kubsa,5,2,2,1
ET,2007,2,26,7.3933,39.2701,2976,-9.999900e+02,Mixed,4,0,0,0
ET,2007,2,26,7.4093,39.3329,3008,-9.999900e+02,K-Variety,3,0,0,0
ET,2007,2,26,8.0205,39.1568,2156,-9.999900e+02,K-Variety,4,0,0,0
ET,2007,10,4,8.3781,39.3310,1573,-9.999900e+02,NaN,-9,0,0,0
ET,2007,10,8,7.1286,39.2604,2358,80,HAR 1889,5,1,1,1
ET,2007,10,8,7.1357,39.3361,2383,80,Hawi,5,1,2,1
ET,2007,10,8,7.1387,39.2722,2360,80,HAR 2501,5,1,1,1
ET,2007,10,8,7.1455,39.2854,2374,80,HAR 2508,4,1,1,1
ET,2007,10,8,7.1473,39.2678,2373,80,Galama,4,1,3,1
ET,2007,10,8,7.1639,39.3272,2382,80,Dodota,5,1,3,1
ET,2007,10,8,7.1680,39.2872,2380,80,Kubsa,5,1,2,1
ET,2007,10,8,7.1867,39.3304,2375,80,Galama,4,1,1,1
ET,2007,10,8,7.1925,39.3197,2381,80,HAR 1685,5,1,1,1
ET,2007,10,13,7.1980,38.6197,1991,-9.999900e+02,Pavon-76,5,1,2,1
ET,2007,10,16,8.4736,39.1884,2271,-9.999900e+02,Pavon,4,0,0,0
ET,2007,10,16,8.4736,39.1884,2271,-9.999900e+02,Tusie,6,1,1,1
ET,2007,10,16,8.4774,39.1569,2271,-9.999900e+02,Pavon,5,0,0,0
ET,2007,10,17,8.0382,39.0254,1677,-9.999900e+02,Kubsa,6,0,0,0
ET,2007,10,17,8.3733,38.5124,1864,1,Pavon,5,0,0,0
ET,2007,10,17,8.4170,38.5370,2006,-9.999900e+02,Kubsa,5,0,0,0
ET,2007,10,17,8.4533,38.5679,1920,1,Mixture,5,1,3,1
ET,2007,10,18,7.3956,39.2831,2908,7,Enkoy,-9,0,0,0
ET,2007,10,18,7.5420,39.2555,2873,8,Israel,-9,0,0,0
ET,2007,10,18,7.6233,39.2242,2509,6,Israel,-9,0,0,0
ET,2007,10,18,7.7065,39.1685,2600,6,HAR 604,-9,0,0,0
ET,2007,10,18,7.7065,39.1684,2500,8,Mix Tusie,-9,0,0,0
ET,2007,10,18,7.7385,39.2330,2492,6,HAR 604,-9,0,0,0
ET,2007,10,18,7.7466,39.0365,2461,8,HAR 1407,-9,0,0,0
ET,2007,10,19,7.1323,39.2589,2348,-9.999900e+02,Kubsa(HAR 1685),-9,1,1,1
ET,2007,10,19,7.1323,39.2589,2361,-9.999900e+02,Sofumer,-9,1,3,1
ET,2007,10,19,7.1413,39.2539,2386,-9.999900e+02,Pavone,-9,1,3,1
ET,2007,10,19,7.1438,39.2406,2390,-9.999900e+02,HAR 604(Galama),-9,1,2,1
ET,2007,10,19,7.1731,39.3348,2354,-9.999900e+02,Tuse,-9,0,0,0
ET,2007,10,19,7.1820,39.3325,2371,-9.999900e+02,Simba,-9,1,3,1
ET,2007,10,20,7.0041,39.0808,2463,-9.999900e+02,Unknown,-9,1,2,1
ET,2007,10,20,7.0243,38.8931,2586,-9.999900e+02,HAR 1407(Tuse),-9,1,2,1
ET,2007,10,20,7.1189,39.1989,2376,-9.999900e+02,#22 EWRTN(HAR 1349),-9,0,0,0
ET,2007,10,20,8.2045,38.5858,1605,1,pavon,5,1,1,1
ET,2007,10,20,8.4357,39.0020,1889,-9.999900e+02,Kubsa,5,0,0,0
ET,2007,10,20,8.4633,38.5555,1909,-9.999900e+02,Yerer,4,0,0,0
ET,2007,10,20,8.4715,38.5481,1922,1,Pavon,5,0,0,0
ET,2007,10,20,8.5067,38.5050,2183,-9.999900e+02,Kilinto,4,0,0,0
ET,2007,10,20,8.5067,38.5077,2123,1,Kubsa,5,0,0,0
ET,2007,10,20,8.5291,38.4701,2072,-9.999900e+02,Kilinto,4,0,0,0
ET,2007,10,21,7.1283,37.5583,2050,-9.999900e+02,Dashen,3,0,0,0
ET,2007,10,21,7.2100,37.5515,2172,1,Galema,4,0,0,0
ET,2007,10,21,7.2283,37.5128,2199,1,Galema,4,0,0,0
ET,2007,10,21,7.3147,37.5192,2220,1,Galema,4,0,0,0
ET,2007,10,21,7.3251,38.6578,1946,-9.999900e+02,HAR 1685,-9,0,0,0
ET,2007,10,21,7.3381,37.5260,2235,-9.999900e+02,Unknown,5,0,0,0
ET,2007,10,21,7.4055,37.5809,2130,-9.999900e+02,Galema(legicho-locally,4,0,0,0
ET,2007,10,21,7.4413,38.0630,2003,-9.999900e+02,Galema,4,0,0,0
